Date,Stock,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),sma_short,sma_long,signal,buy_sell_qty,buy_sell_qty_value,positions_carry_qty,position_carry_val,stock_value,cash,position_total,portfolio_returns,mkt_returns
2004-08-25,TCS,1198.7,1198.7,979.0,985.0,987.95,17116372.0,172587.61,987.95,987.95,0.0,0.0,0.0,,,,,,,
2004-08-26,TCS,992.0,997.0,975.3,976.85,979.0,5055400.0,49828.65,983.475,983.475,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,,-0.9059162913102936
2004-08-27,TCS,982.4,982.4,958.55,961.2,962.65,3830750.0,37155.86,976.5333333333333,976.5333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,-1.6700715015321776
2004-08-30,TCS,969.9,990.0,965.0,986.4,986.75,3058151.0,30051.06,979.0875,979.0875,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,2.5035059471251175
2004-08-31,TCS,986.5,990.0,976.0,987.8,988.1,2649332.0,26021.33,980.89,980.89,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.1368127691917964
2004-09-01,TCS,990.0,995.0,983.6,986.0,987.9,2491943.0,24662.36,982.0583333333333,982.0583333333333,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,-0.020240866309084726
2004-09-02,TCS,989.9,1004.6,986.0,994.0,993.65,2669544.0,26614.26,983.7142857142856,983.7142857142856,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.5820427168741871
2004-09-03,TCS,1006.0,1100.0,990.35,998.7,997.85,1233732.0,12299.17,985.4812499999999,985.4812499999999,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.4226840436773571
2004-09-06,TCS,1039.9,1039.9,992.9,996.8,994.85,1129834.0,11285.54,986.5222222222221,986.5222222222221,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,-0.3006463897379352
2004-09-07,TCS,1035.0,1035.0,995.0,995.0,995.6,721529.0,7196.11,987.43,987.43,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.07538824948485345
2004-09-08,TCS,996.0,1000.8,991.1,992.25,993.7,824248.0,8203.62,988.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,-0.1908396946564861
2004-09-09,TCS,997.0,997.9,978.45,979.65,979.95,993398.0,9786.57,987.3291666666668,987.3291666666668,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,-1.3837174197443902
2004-09-10,TCS,990.0,990.0,976.0,989.95,988.8,801884.0,7899.51,987.4423076923077,987.4423076923077,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.9031073013929136
2004-09-13,TCS,991.0,1015.5,991.0,1002.75,1003.5,2613114.0,26322.21,988.5892857142857,988.5892857142857,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1.4866504854369023
2004-09-14,TCS,1005.0,1018.8,1002.95,1015.95,1015.65,1916934.0,19417.63,990.3933333333333,990.3933333333333,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1.2107623318385663
2004-09-15,TCS,1018.0,1020.0,1001.2,1005.0,1006.1,1498536.0,15122.08,991.375,991.375,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,-0.9402845468419185
2004-09-16,TCS,1007.0,1015.0,1002.5,1011.0,1008.45,919778.0,9288.06,992.3794117647059,992.3794117647059,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.23357519133286875
2004-09-17,TCS,1012.0,1029.9,1010.3,1029.9,1024.5,1828487.0,18670.47,994.1638888888889,994.1638888888889,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1.5915513907481804
2004-09-20,TCS,1032.4,1036.9,1020.15,1022.5,1022.9,1069028.0,10998.44,995.6763157894738,995.6763157894738,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,-0.1561737432894117
2004-09-21,TCS,1024.85,1048.5,1022.0,1047.4,1045.8,1737135.0,18058.22,998.1825000000001,998.1825000000001,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,2.2387330139798545
2004-09-22,TCS,1048.4,1056.0,1037.1,1049.9,1052.05,1921448.0,20128.57,1001.3875,1000.7476190476191,1.0,1.0,1048.4,0.0,0.0,1052.05,-48.40000000000009,1003.6499999999999,0.3649999999999931,0.5976286096768035
2004-09-23,TCS,1048.0,1049.0,1027.0,1028.0,1030.25,1977460.0,20522.0,1003.95,1002.0886363636364,0.0,0.0,0.0,1.0,1048.4,1030.25,-48.40000000000009,981.8499999999999,-2.172071937428377,-2.0721448600351633
2004-09-24,TCS,1029.1,1040.0,1026.0,1027.6,1028.8,1010401.0,10446.93,1007.2574999999999,1003.25,0.0,0.0,0.0,1.0,1048.4,1028.8,-48.40000000000009,980.3999999999999,-0.14768039924633047,-0.14074253821888538
2004-09-27,TCS,1027.5,1032.5,1015.0,1019.0,1020.75,1028689.0,10517.68,1008.9574999999999,1003.9791666666666,0.0,0.0,0.0,1.0,1048.4,1020.75,-48.40000000000009,972.3499999999999,-0.8210934312525509,-0.7824650077760453
2004-09-28,TCS,1016.0,1027.4,1012.5,1016.2,1015.55,792427.0,8089.25,1010.3299999999999,1004.442,0.0,0.0,0.0,1.0,1048.4,1015.55,-48.40000000000009,967.1499999999999,-0.5347868565845681,-0.5094293411707085
